image1,image2,label1,label2,se,angular_error,similarity,score_type
Donald_Rumsfeld_0069_aug_3.jpg,Donald_Rumsfeld_0115_aug_6.jpg,Donald_Rumsfeld_,Donald_Rumsfeld_,0.042968296,0.12995864,0.8417837,mated_score
George_W_Bush_0193_aug_1.jpg,George_W_Bush_0203_aug_2.jpg,George_W_Bush_,George_W_Bush_,0.00908039,0.8541928,0.7017731,mated_score
George_W_Bush_0101_aug_5.jpg,George_W_Bush_0304_aug_5.jpg,George_W_Bush_,George_W_Bush_,0.017479932,0.6149464,0.6440853,mated_score
George_W_Bush_0166_aug_2.jpg,George_W_Bush_0515_aug_3.jpg,George_W_Bush_,George_W_Bush_,0.017691594,0.46815208,0.5753703,mated_score
Colin_Powell_0157_aug_3.jpg,Colin_Powell_0232_aug_2.jpg,Colin_Powell_,Colin_Powell_,0.00915974,0.4526992,0.7671264,mated_score
George_W_Bush_0462_aug_3.jpg,George_W_Bush_0462_aug_4.jpg,George_W_Bush_,George_W_Bush_,0.000613188,0.035759967,0.9732585,mated_score
George_W_Bush_0112_aug_4.jpg,George_W_Bush_0118_aug_5.jpg,George_W_Bush_,George_W_Bush_,0.002315124,0.30585954,0.61337215,mated_score
Gerhard_Schroeder_0031_aug_5.jpg,Gerhard_Schroeder_0099_aug_3.jpg,Gerhard_Schroeder_,Gerhard_Schroeder_,0.006523534,0.41953218,0.6174199,mated_score
George_W_Bush_0228_aug_0.jpg,George_W_Bush_0462_aug_0.jpg,George_W_Bush_,George_W_Bush_,0.000222722,0.11503421,0.6887233,mated_score
George_W_Bush_0139_aug_6.jpg,George_W_Bush_0271_aug_0.jpg,George_W_Bush_,George_W_Bush_,0.006758506,0.06262743,0.7172901,mated_score
Colin_Powell_0120_aug_5.jpg,Colin_Powell_0132_aug_3.jpg,Colin_Powell_,Colin_Powell_,0.001657493,0.17233492,0.72237635,mated_score
George_W_Bush_0115_aug_0.jpg,George_W_Bush_0271_aug_5.jpg,George_W_Bush_,George_W_Bush_,0.005760699,0.28104773,0.6710775,mated_score
George_W_Bush_0101_aug_3.jpg,George_W_Bush_0115_aug_5.jpg,George_W_Bush_,George_W_Bush_,0.023584798,1.1006336,0.68696254,mated_score
Tony_Blair_0044_aug_5.jpg,Tony_Blair_0044_aug_6.jpg,Tony_Blair_,Tony_Blair_,0.004218714,0.09751711,0.9574571,mated_score
George_W_Bush_0020_aug_2.jpg,George_W_Bush_0525_aug_0.jpg,George_W_Bush_,George_W_Bush_,0.004969577,0.003996757,0.5602728,mated_score
Tony_Blair_0120_aug_3.jpg,Tony_Blair_0135_aug_6.jpg,Tony_Blair_,Tony_Blair_,0.007213207,0.64042974,0.58849674,mated_score
Colin_Powell_0071_aug_6.jpg,Colin_Powell_0233_aug_4.jpg,Colin_Powell_,Colin_Powell_,0.062182605,0.7789362,0.7659828,mated_score
George_W_Bush_0163_aug_6.jpg,George_W_Bush_0193_aug_3.jpg,George_W_Bush_,George_W_Bush_,0.004243312,0.51754624,0.5114757,mated_score
George_W_Bush_0057_aug_3.jpg,George_W_Bush_0283_aug_2.jpg,George_W_Bush_,George_W_Bush_,0.002836881,0.36228675,0.5059858,mated_score
George_W_Bush_0513_aug_3.jpg,George_W_Bush_0513_aug_4.jpg,George_W_Bush_,George_W_Bush_,0.01969466,0.7920761,0.95640624,mated_score
Donald_Rumsfeld_0039_aug_1.jpg,Donald_Rumsfeld_0103_aug_1.jpg,Donald_Rumsfeld_,Donald_Rumsfeld_,0.007953444,1.6279434,0.5743408,mated_score
George_W_Bush_0370_aug_1.jpg,George_W_Bush_0473_aug_4.jpg,George_W_Bush_,George_W_Bush_,0.031931993,1.8021407,0.6968325,mated_score
George_W_Bush_0028_aug_1.jpg,George_W_Bush_0462_aug_5.jpg,George_W_Bush_,George_W_Bush_,0.005029121,0.01722208,0.70023847,mated_score
George_W_Bush_0119_aug_5.jpg,George_W_Bush_0201_aug_6.jpg,George_W_Bush_,George_W_Bush_,0.013570889,0.3556926,0.5724194,mated_score
Tony_Blair_0005_aug_5.jpg,Tony_Blair_0122_aug_4.jpg,Tony_Blair_,Tony_Blair_,0.002146023,0.042434514,0.5662136,mated_score
George_W_Bush_0271_aug_3.jpg,George_W_Bush_0479_aug_5.jpg,George_W_Bush_,George_W_Bush_,0.02295623,0.997151,0.7023758,mated_score
George_W_Bush_0446_aug_2.jpg,George_W_Bush_0482_aug_4.jpg,George_W_Bush_,George_W_Bush_,0.009806529,0.92108625,0.628695,mated_score
George_W_Bush_0169_aug_5.jpg,George_W_Bush_0273_aug_5.jpg,George_W_Bush_,George_W_Bush_,0.003930803,0.3182016,0.1729255,mated_score
Colin_Powell_0052_aug_5.jpg,Colin_Powell_0210_aug_1.jpg,Colin_Powell_,Colin_Powell_,0.021087322,0.8817871,0.71696526,mated_score
Colin_Powell_0037_aug_4.jpg,Colin_Powell_0108_aug_5.jpg,Colin_Powell_,Colin_Powell_,0.008422756,0.37155834,0.7579194,mated_score
George_W_Bush_0310_aug_2.jpg,George_W_Bush_0431_aug_3.jpg,George_W_Bush_,George_W_Bush_,0.001581768,0.5530767,0.7228972,mated_score
George_W_Bush_0029_aug_1.jpg,George_W_Bush_0188_aug_0.jpg,George_W_Bush_,George_W_Bush_,0.015257212,0.5455627,0.6743747,mated_score
Colin_Powell_0002_aug_5.jpg,Colin_Powell_0230_aug_1.jpg,Colin_Powell_,Colin_Powell_,0.000196057,0.023731226,0.83259726,mated_score
George_W_Bush_0070_aug_5.jpg,George_W_Bush_0350_aug_6.jpg,George_W_Bush_,George_W_Bush_,0.00120641,0.096188195,0.75048065,mated_score
George_W_Bush_0148_aug_5.jpg,George_W_Bush_0279_aug_6.jpg,George_W_Bush_,George_W_Bush_,0.01929108,0.94970614,0.5798292,mated_score
George_W_Bush_0119_aug_0.jpg,George_W_Bush_0370_aug_1.jpg,George_W_Bush_,George_W_Bush_,0.014695177,0.3191403,0.50762,mated_score
George_W_Bush_0319_aug_5.jpg,George_W_Bush_0506_aug_5.jpg,George_W_Bush_,George_W_Bush_,0.006356409,0.09575964,0.7542837,mated_score
Donald_Rumsfeld_0038_aug_2.jpg,Donald_Rumsfeld_0110_aug_1.jpg,Donald_Rumsfeld_,Donald_Rumsfeld_,0.003225931,0.38000822,0.6974482,mated_score
George_W_Bush_0453_aug_2.jpg,George_W_Bush_0484_aug_3.jpg,George_W_Bush_,George_W_Bush_,0.004447477,0.324732,0.75133955,mated_score
George_W_Bush_0345_aug_2.jpg,George_W_Bush_0500_aug_6.jpg,George_W_Bush_,George_W_Bush_,0.001800845,0.52371395,0.66466546,mated_score
George_W_Bush_0211_aug_2.jpg,George_W_Bush_0228_aug_3.jpg,George_W_Bush_,George_W_Bush_,0.050552133,1.6318856,0.6486538,mated_score
George_W_Bush_0187_aug_5.jpg,George_W_Bush_0260_aug_4.jpg,George_W_Bush_,George_W_Bush_,0.012403717,0.12792929,0.39514568,mated_score
Tony_Blair_0042_aug_4.jpg,Tony_Blair_0110_aug_0.jpg,Tony_Blair_,Tony_Blair_,0.026492463,0.025904953,0.4527311,mated_score
Gerhard_Schroeder_0011_aug_0.jpg,Gerhard_Schroeder_0047_aug_1.jpg,Gerhard_Schroeder_,Gerhard_Schroeder_,0.006202044,0.12670785,0.559989,mated_score
Colin_Powell_0134_aug_6.jpg,Colin_Powell_0199_aug_6.jpg,Colin_Powell_,Colin_Powell_,0.015916325,0.17732018,0.7653505,mated_score
George_W_Bush_0151_aug_1.jpg,George_W_Bush_0196_aug_3.jpg,George_W_Bush_,George_W_Bush_,0.00316634,0.049386647,0.5583353,mated_score
George_W_Bush_0112_aug_4.jpg,George_W_Bush_0365_aug_2.jpg,George_W_Bush_,George_W_Bush_,0.013930891,0.4499051,0.44329906,mated_score
George_W_Bush_0278_aug_3.jpg,George_W_Bush_0515_aug_0.jpg,George_W_Bush_,George_W_Bush_,0.000578327,0.3204417,0.6524638,mated_score
George_W_Bush_0029_aug_1.jpg,George_W_Bush_0161_aug_2.jpg,George_W_Bush_,George_W_Bush_,0.015257212,0.5455627,0.6663353,mated_score
George_W_Bush_0125_aug_6.jpg,George_W_Bush_0513_aug_3.jpg,George_W_Bush_,George_W_Bush_,0.003036725,0.6228759,0.74211705,mated_score
George_W_Bush_0094_aug_0.jpg,George_W_Bush_0431_aug_1.jpg,George_W_Bush_,George_W_Bush_,0.04520621,1.6959748,0.73465896,mated_score
George_W_Bush_0044_aug_1.jpg,George_W_Bush_0164_aug_6.jpg,George_W_Bush_,George_W_Bush_,0.026070306,0.87433434,0.5344852,mated_score
Gerhard_Schroeder_0011_aug_3.jpg,Gerhard_Schroeder_0077_aug_2.jpg,Gerhard_Schroeder_,Gerhard_Schroeder_,0.00855158,0.20564306,0.5912324,mated_score
George_W_Bush_0057_aug_2.jpg,George_W_Bush_0375_aug_1.jpg,George_W_Bush_,George_W_Bush_,0.001938126,0.043026134,0.5851383,mated_score
Colin_Powell_0002_aug_3.jpg,Colin_Powell_0012_aug_6.jpg,Colin_Powell_,Colin_Powell_,0.006290923,0.38648653,0.75207126,mated_score
George_W_Bush_0070_aug_2.jpg,George_W_Bush_0409_aug_4.jpg,George_W_Bush_,George_W_Bush_,0.017486544,0.7426616,0.66406924,mated_score
George_W_Bush_0156_aug_5.jpg,George_W_Bush_0485_aug_4.jpg,George_W_Bush_,George_W_Bush_,0.010488112,0.42629695,0.5532844,mated_score
George_W_Bush_0002_aug_4.jpg,George_W_Bush_0390_aug_1.jpg,George_W_Bush_,George_W_Bush_,0.004470879,0.03639616,0.58725166,mated_score
